12933,2023-11-12 14:34:27+00:00,#ORDI Buy Setup
12927,2023-11-12 06:23:21+00:00,#ORDI Buy Setup
12913,2023-11-11 16:41:05+00:00,#ORDI Buy Setup
12911,2023-11-11 16:40:49+00:00,#ORDY Buy Setup
12909,2023-11-11 16:16:15+00:00,#DYDX Buy Setup
12904,2023-11-11 14:35:37+00:00,#MANA Buy Setup
12888,2023-11-11 05:24:09+00:00,#1000FLOKI Buy Setup
12852,2023-11-10 16:51:37+00:00,#ORDI Buy Setup
12844,2023-11-10 14:21:37+00:00,#BTC Buy Setup
12830,2023-11-10 05:28:21+00:00,#ETH Buy Setup
12828,2023-11-10 02:12:06+00:00,#PENDLE Buy Setup
12826,2023-11-10 01:17:17+00:00,#STEEM Buy Setup
12812,2023-11-09 05:06:51+00:00,#STEEM Buy Setup
12791,2023-11-08 16:48:39+00:00,Reopen #BTC Buy Setup
12784,2023-11-08 11:35:28+00:00,#BTC Buy Setup  TP 36k5 38k 39k1 40k 42k4  SL 2.5% (Tight SL)
12778,2023-11-08 08:41:44+00:00,#STEEM Buy Setup (SPOT TRADE)
12755,2023-11-07 18:38:58+00:00,#TRB Buy Setup  Rebuy
12753,2023-11-07 18:23:59+00:00,#SOL Buy Setup  The final push to May 2022 level.
12737,2023-11-07 12:31:45+00:00,#BTC Short Setup
12732,2023-11-07 10:04:58+00:00,#SOL Swing Short Setup  This setup should take time and on the same tune with BTC down.
12724,2023-11-07 05:27:34+00:00,#GAS Buy Setup
12722,2023-11-07 05:06:23+00:00,#GAS Buy Setup
12689,2023-11-06 00:53:43+00:00,#GAS Buy Setup
12677,2023-11-05 15:46:40+00:00,#ETH Short Setup
12667,2023-11-05 11:49:30+00:00,#BTC Short Setup  This is the last chance for Bears. I feel I'm a lonely bear as well
12663,2023-11-05 04:09:53+00:00,#LINK Buy Setup
12658,2023-11-05 03:16:51+00:00,#LINK The box is broken out.  Short setup stopped out.
12649,2023-11-04 07:11:15+00:00,#TRB Buy Setup
12625,2023-11-03 14:28:11+00:00,#TRB Buy Setup
12623,2023-11-03 13:56:08+00:00,#ARK Buy Setup
12612,2023-11-03 05:13:05+00:00,#MASK BUy Setup
12598,2023-11-02 12:38:05+00:00,#BTC Buy Setup  We are going to chase the final legs.
12591,2023-11-02 05:09:33+00:00,#ARK Short Setup
12590,2023-11-02 05:05:07+00:00,#BTC BIg Short Setup
